id,nome,status,estado_id
595,PRESIDENTE JANIO QUADROS,1,5
596,PRESIDENTE TANCREDO NEVES,1,5
597,QUEIMADAS,1,5
598,QUIJINGUE,1,5
599,QUIXABEIRA,1,5
600,RAFAEL JAMBEIRO,1,5
601,REMANSO,1,5
602,RETIROLANDIA,1,5
603,RIACHAO DAS NEVES,1,5
604,RIACHAO DO JACUIPE,1,5
605,RIACHO DE SANTANA,1,5
606,RIBEIRA DO AMPARO,1,5
607,RIBEIRA DO POMBAL,1,5
608,RIBEIRAO DO LARGO,1,5
609,RIO DE CONTAS,1,5
610,RIO DO ANTONIO,1,5
611,RIO DO PIRES,1,5
612,RIO REAL,1,5
613,RODELAS,1,5
614,RUY BARBOSA,1,5
615,SALINAS DA MARGARIDA,1,5
616,SALVADOR,1,5
617,SANTA BARBARA,1,5
618,SANTA BRIGIDA,1,5
619,SANTA CRUZ CABRALIA,1,5
620,SANTA CRUZ DA VITORIA,1,5
621,SANTA INES,1,5
622,SANTA LUZIA,1,5
623,SANTA MARIA DA VITORIA,1,5
624,SANTA RITA DE CASSIA,1,5
625,SANTA TERESINHA,1,5
626,SANTALUZ,1,5
627,SANTANA,1,5
628,SANTANOPOLIS,1,5
629,SANTO AMARO,1,5
630,SANTO ANTONIO DE JESUS,1,5
631,SANTO ESTEVAO,1,5
632,SAO DESIDERIO,1,5
633,SAO DOMINGOS,1,5
634,SAO FELIPE,1,5
635,SAO FELIX,1,5
636,SAO FELIX DO CORIBE,1,5
637,SAO FRANCISCO DO CONDE,1,5
638,SAO GABRIEL,1,5
639,SAO GONCALO DOS CAMPOS,1,5
640,SAO JOSE DA VITORIA,1,5
641,SAO JOSE DO JACUIPE,1,5
642,SAO MIGUEL DAS MATAS,1,5
643,SAO SEBASTIAO DO PASSE,1,5
644,SAPEACU,1,5
645,SATIRO DIAS,1,5
646,SAUBARA,1,5
647,SAUDE,1,5
648,SEABRA,1,5
649,SEBASTIAO LARANJEIRAS,1,5
650,SENHOR DO BONFIM,1,5
651,SENTO SE,1,5
652,SERRA DO RAMALHO,1,5
653,SERRA DOURADA,1,5
654,SERRA PRETA,1,5
655,SERRINHA,1,5
656,SERROLANDIA,1,5
657,SIMOES FILHO,1,5
658,SITIO DO MATO,1,5
659,SITIO DO QUINTO,1,5
660,SOBRADINHO,1,5
661,SOUTO SOARES,1,5
662,TABOCAS DO BREJO VELHO,1,5
663,TANHACU,1,5
664,TANQUE NOVO,1,5
665,TANQUINHO,1,5
666,TAPEROA,1,5
667,TAPIRAMUTA,1,5
668,TEIXEIRA DE FREITAS,1,5
669,TEODORO SAMPAIO,1,5
670,TEOFILANDIA,1,5
671,TEOLANDIA,1,5
672,TERRA NOVA,1,5
673,TREMEDAL,1,5
674,TUCANO,1,5
675,UAUA,1,5
676,UBAIRA,1,5
677,UBAITABA,1,5
678,UBATA,1,5
679,UIBAI,1,5
680,UMBURANAS,1,5
681,UNA,1,5
682,URANDI,1,5
683,URUCUCA,1,5
684,UTINGA,1,5
685,VALENCA,1,5
686,VALENTE,1,5
687,VARZEA DA ROCA,1,5
688,VARZEA DO POCO,1,5
689,VARZEA NOVA,1,5
690,VARZEDO,1,5
691,VERA CRUZ,1,5
692,VEREDA,1,5
693,VITORIA DA CONQUISTA,1,5
694,WAGNER,1,5
695,WANDERLEY,1,5
696,WENCESLAU GUIMARAES,1,5
697,XIQUE-XIQUE,1,5
698,ABAIARA,1,6
699,ACARAPE,1,6
700,ACARAU,1,6
701,ACOPIARA,1,6
702,AIUABA,1,6
703,ALCANTARAS,1,6
704,ALTANEIRA,1,6
705,ALTO SANTO,1,6
706,AMONTADA,1,6
707,ANTONINA DO NORTE,1,6
708,APUIARES,1,6
709,AQUIRAZ,1,6
710,ARACATI,1,6
711,ARACOIABA,1,6
712,ARARENDA,1,6
713,ARARIPE,1,6
714,ARATUBA,1,6
715,ARNEIROZ,1,6
716,ASSARE,1,6
717,AURORA,1,6
718,BAIXIO,1,6
719,BANABUIU,1,6
720,BARBALHA,1,6
721,BARREIRA,1,6
722,BARRO,1,6
723,BARROQUINHA,1,6
724,BATURITE,1,6
725,BEBERIBE,1,6
726,BELA CRUZ,1,6
727,BOA VIAGEM,1,6
728,BREJO SANTO,1,6
729,CAMOCIM,1,6
730,CAMPOS SALES,1,6
731,CANINDE,1,6
732,CAPISTRANO,1,6
733,CARIDADE,1,6
734,CARIRE,1,6
735,CARIRIACU,1,6
736,CARIUS,1,6
737,CARNAUBAL,1,6
738,CASCAVEL,1,6
739,CATARINA,1,6
740,CATUNDA,1,6
741,CAUCAIA,1,6
742,CEDRO,1,6
743,CHAVAL,1,6
744,CHORO,1,6
745,CHOROZINHO,1,6
746,COREAU,1,6
747,CRATEUS,1,6
748,CRATO,1,6
749,CROATA,1,6
750,CRUZ,1,6
751,DEPUTADO IRAPUAN PINHEIRO,1,6
752,ERERE,1,6
753,EUSEBIO,1,6
754,FARIAS BRITO,1,6
755,FORQUILHA,1,6
756,FORTALEZA,1,6
757,FORTIM,1,6
758,FRECHEIRINHA,1,6
759,GENERAL SAMPAIO,1,6
760,GRACA,1,6
761,GRANJA,1,6
762,GRANJEIRO,1,6
763,GROAIRAS,1,6
764,GUAIUBA,1,6
765,GUARACIABA DO NORTE,1,6
766,GUARAMIRANGA,1,6
767,HIDROLANDIA,1,6
768,HORIZONTE,1,6
769,IBARETAMA,1,6
770,IBIAPINA,1,6
771,IBICUITINGA,1,6
772,ICAPUI,1,6
773,ICO,1,6
774,IGUATU,1,6
775,INDEPENDENCIA,1,6
776,IPAPORANGA,1,6
777,IPAUMIRIM,1,6
778,IPU,1,6
779,IPUEIRAS,1,6
780,IRACEMA,1,6
781,IRAUCUBA,1,6
782,ITAICABA,1,6
783,ITAITINGA,1,6
784,ITAPAGE,1,6
785,ITAPIPOCA,1,6
786,ITAPIUNA,1,6
787,ITAREMA,1,6
788,ITATIRA,1,6
789,JAGUARETAMA,1,6
790,JAGUARIBARA,1,6
791,JAGUARIBE,1,6
792,JAGUARUANA,1,6
793,JARDIM,1,6
794,JATI,1,6
795,JIJOCA DE JERICOACOARA,1,6
796,JUAZEIRO DO NORTE,1,6
797,JUCAS,1,6
798,LAVRAS DA MANGABEIRA,1,6
799,LIMOEIRO DO NORTE,1,6
800,MADALENA,1,6
801,MARACANAU,1,6
802,MARANGUAPE,1,6
803,MARCO,1,6
804,MARTINOPOLE,1,6
805,MASSAPE,1,6
806,MAURITI,1,6
807,MERUOCA,1,6
808,MILAGRES,1,6
809,MILHA,1,6
810,MIRAIMA,1,6
811,MISSAO VELHA,1,6
812,MOMBACA,1,6
813,MONSENHOR TABOSA,1,6
814,MORADA NOVA,1,6
815,MORAUJO,1,6
816,MORRINHOS,1,6
817,MUCAMBO,1,6
818,MULUNGU,1,6
819,NOVA OLINDA,1,6
820,NOVA RUSSAS,1,6
821,NOVO ORIENTE,1,6
822,OCARA,1,6
823,OROS,1,6
824,PACAJUS,1,6
825,PACATUBA,1,6
826,PACOTI,1,6
827,PACUJA,1,6
828,PALHANO,1,6
829,PALMACIA,1,6
830,PARACURU,1,6
831,PARAIPABA,1,6
832,PARAMBU,1,6
833,PARAMOTI,1,6
834,PEDRA BRANCA,1,6
835,PENAFORTE,1,6
836,PENTECOSTE,1,6
837,PEREIRO,1,6
838,PINDORETAMA,1,6
839,PIQUET CARNEIRO,1,6
840,PIRES FERREIRA,1,6
841,PORANGA,1,6
842,PORTEIRAS,1,6
843,POTENGI,1,6
844,POTIRETAMA,1,6
845,QUITERIANOPOLIS,1,6
846,QUIXADA,1,6
847,QUIXELO,1,6
848,QUIXERAMOBIM,1,6
849,QUIXERE,1,6
850,REDENCAO,1,6
851,RERIUTABA,1,6
852,RUSSAS,1,6
853,SABOEIRO,1,6
854,SALITRE,1,6
855,SANTA QUITERIA,1,6
856,SANTANA DO ACARAU,1,6
857,SANTANA DO CARIRI,1,6
858,SAO BENEDITO,1,6
859,SAO GONCALO DO AMARANTE,1,6
860,SAO JOAO DO JAGUARIBE,1,6
861,SAO LUIS DO CURU,1,6
862,SENADOR POMPEU,1,6
863,SENADOR SA,1,6
864,SOBRAL,1,6
865,SOLONOPOLE,1,6
866,TABULEIRO DO NORTE,1,6
867,TAMBORIL,1,6
868,TARRAFAS,1,6
869,TAUA,1,6
870,TEJUCUOCA,1,6
871,TIANGUA,1,6
872,TRAIRI,1,6
873,TURURU,1,6
874,UBAJARA,1,6
875,UMARI,1,6
876,UMIRIM,1,6
877,URUBURETAMA,1,6
878,URUOCA,1,6
879,VARJOTA,1,6
880,VARZEA ALEGRE,1,6
881,VICOSA DO CEARA,1,6
882,BRASILIA,1,7
883,ABADIA DE GOIAS,1,9
884,ABADIANIA,1,9
885,ACREUNA,1,9
886,ADELANDIA,1,9
887,AGUA FRIA DE GOIAS,1,9
888,AGUA LIMPA,1,9
889,AGUAS LINDAS DE GOIAS,1,9
890,ALEXANIA,1,9
891,ALOANDIA,1,9
892,ALTO HORIZONTE,1,9
893,ALTO PARAISO DE GOIAS,1,9
894,ALVORADA DO NORTE,1,9
895,AMARALINA,1,9
896,AMERICANO DO BRASIL,1,9
897,AMORINOPOLIS,1,9
898,ANAPOLIS,1,9
899,ANHANGUERA,1,9
900,ANICUNS,1,9
901,APARECIDA DE GOIANIA,1,9
902,APARECIDA DO RIO DOCE,1,9
903,APORE,1,9
904,ARACU,1,9
905,ARAGARCAS,1,9
906,ARAGOIANIA,1,9
907,ARAGUAPAZ,1,9
